Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
AUXL US,Auxilium Pharmaceuticals LLC,1.3,-4.5,-13.1,41.25,20.5871,7.5,154.4,05334D107,-0.2,41.25,20.5871,0.121517,62000.0,7.50 - 7.50,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.4,-0.158144438587237,96.7,5.5,7,23,2004,0
AVAV US,AeroVironment Inc,12.8,-0.9,0.1,130.985,18.1565,17.0,308.66,8073108,-0.3,130.985,18.1565,95.8338,23948000.0,14 - 16,Priced Above Range,Industrial,Aerospace/Defense,Aerospace/Defense,5.17,0.3052527254707629,96.9,4.6,1,23,2007,1
AVEO US,AVEO Pharmaceuticals Inc,602.6,-126.1,-27.6,89.7169,29.644,9.0,266.8,53588307,-1.7,89.7169,29.644,45.3416,15762200.0,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.14,0.4106283536571079,73.6,9.9,3,12,2010,0
AVGR US,Avinger Inc,15.6,-171.8,-58.9,65.0,10.2298,13.0,132.987,53734885,-66.4,65.0,10.2298,14.4318,1073100.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,0.06,-0.4705892373473239,98.1,5.7,1,30,2015,1
AVIR US,Atea Pharmaceuticals Inc,622.4,34.4,1.9,345.0,82.6169,24.0,1982.81,04683R106,-1.0,345.0,82.6169,75.6732,63026400.0,22 - 24,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,30,2020,1
AVK US,Advent Convertible and Income,,,,557.5,0.0,25.0,0.0,00764C109,,557.5,0.0,50.8991,17607900.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.29,-0.2171552660151868,86.0,6.0,4,30,2003,1
AVLR US,Avalara Inc,39.6,-17.9,-7.2,207.0,66.0582,24.0,1585.4,05338G106,0.4,207.0,66.0582,105.229,93188300.0,21 - 23,Priced Above Range,Technology,Software,Enterprise Software/Serv,1.7,0.1593875701543719,98.2,4.0,6,15,2018,1
AVNU US,Avenue Financial Holdings Inc,19.1,17.7,0.6,31.625,10.2292,11.0,112.521,05358K102,1.2,31.625,10.2292,100.0,10419900.0,13-Nov,Priced Within Range,Financial,Banks,Commer Banks-Southern US,0.06,0.4343044923772059,95.4,5.5,2,10,2015,1
AVNX US,Lumentum Italy Inc,,,-18.0,216.0,62.5293,36.0,2251.05,05348W307,,216.0,62.5293,0.000903691,141.0,13 - 15,Priced Above Range,Communications,Telecommunications,Telecom Eq Fiber Optics,5.79,0.592417061611377,111.3,4.1,2,3,2000,1
AVO US,Mission Produce Inc,3.4,5.0,2.7,110.4,70.5509,12.0,846.611,60510V108,0.6,110.4,70.5509,23.7308,16769200.0,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,0.09,0.0414937759336148,81.8,6.9,10,1,2020,1
AVRNQ US,Aventine Renewable Energy Hold,-73.5,-7.7,-6.1,389.513,41.8242,43.0,1798.44,05356X403,0.9,389.513,41.8242,,,40 - 43,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,5.02,0.1975308641975319,84.9,4.6,6,29,2006,0
AVRO US,Avrobio Inc,,,-63.0,114.669,23.9368,19.0,454.799,05455M100,-2.2,114.669,23.9368,76.8445,33638000.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.1593875701543719,98.2,4.0,6,21,2018,1
AVRX US,Avalon Pharmaceuticals Inc,,,-88.2,33.2062,8.40496,10.5,88.25,05346P106,,33.2062,8.40496,,,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,3.57,1.22199592668025,76.9,5.0,9,29,2005,0
AVSR US,Avistar Communications Corp,-59.5,-80.8,-137.0,36.0,25.1855,12.0,302.23,05379X208,-0.0255097,36.0,25.1855,,,13 - 15,Priced Below Range,Technology,Software,Communications Software,6.51,0.0,107.3,4.1,8,17,2000,0
AVTR US,Avantor Inc,15.5,7.7,5.0,3332.7,596.39,14.0,8349.46,05352A100,1.6,3332.7,596.39,98.9465,667102000.0,14 - 15,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,2.45,0.2128758589384109,100.0,3.6,5,17,2019,1
AVXS US,AveXis Inc,,,-89.7,105.558,22.9285,20.0,458.57,05366U100,-5.2,105.558,22.9285,0.288623,106261.0,19 - 21,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.38,0.0823076533454984,91.7,4.9,2,11,2016,0
AWE US,New Cingular Wireless Services,,,0.075987,10620.0,360.0,29.5,10620.0,00209A106,,10620.0,360.0,0.000340715,9300.0,26 - 32,Priced Within Range,Communications,Telecommunications,Cellular Telecom,6.17,0.058411214953279,109.2,3.8,4,27,2000,1
AWK US,American Water Works Co Inc,4.0,32.1,5.0,1358.23,165.173,21.5,3551.22,30420103,7.9,1358.23,165.173,95.108,172933000.0,24 - 26,Priced Below Range,Utilities,Water,Water,2.38,0.606477838971956,62.6,5.0,4,23,2008,0
AWP US,abrdn Global Premier Propertie,,,,2110.32,0.0,20.0,0.0,00302L108,,2110.32,0.0,21.8191,18635300.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.3,0.649616268650889,87.1,4.5,4,26,2007,1
AX US,Axos Financial Inc,6.9,33.4,1.4,35.1003,8.29982,11.5,95.45,05465C100,3.5,35.1003,8.29982,84.0314,50418300.0,13-Sep,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Western US,2.39,0.7820646506777719,92.6,5.2,3,15,2005,0
AXARU US,Axar Acquisition Corp,1703.0,-466.5,-0.4,240.0,24.0,10.0,240.0,05455L201,,240.0,24.0,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,-0.2512277812553889,86.9,5.7,10,2,2014,0
AXG/U US,Atlas Acquisition Holdings Cor,,,-0.2,200.0,0.0,10.0,0.0,49162209,0.0566202,200.0,0.0,,,10-Oct,Priced Within Range,Financial,Investment Companies,Investment Companies,3.06,0.4970576472604689,78.4,5.0,1,25,2008,0
AXLA US,Axcella Health Inc,,,-152.7,71.428,22.9884,20.0,459.768,05454B105,-1.4,71.428,22.9884,60.5793,44559000.0,20 - 22,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,2.45,0.2128758589384109,100.0,3.6,5,9,2019,0
AXNX US,Axonics Inc,61.6,-44.4,-12.6,138.0,27.8386,15.0,417.579,05465P101,-1.1,138.0,27.8386,111.306,55129900.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,2.18,0.1766763455725869,98.6,3.8,10,31,2018,0
AXPUF US,Arabella Exploration Inc,,,,32.852,5.1065,8.0,40.852,N.A.,,32.852,5.1065,,,8-Aug,Priced Within Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.15,0.975107203050938,67.5,9.0,3,18,2011,0
AXSM US,Axsome Therapeutics Inc,,,-70.1,51.0003,19.137,9.0,159.484,05464T104,-2.8,51.0003,19.137,59.0966,25663400.0,13-Nov,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,-0.2110680379081459,91.3,5.1,11,19,2015,0
AXTA US,Axalta Coating Systems Ltd,18.1,5.9,2.8,1121.25,229.069,19.5,4466.85,N.A.,2.5,1121.25,229.069,111.872,246800000.0,18 - 21,Priced Within Range,Basic Materials,Chemicals,Coatings/Paint,0.07,-0.5399417941061189,88.8,5.8,11,12,2014,1
AYR US,Aircastle Ltd,-7.5,-36.1,-3.8,240.454,51.4465,23.0,1183.27,N.A.,10.6,240.454,51.4465,26.6925,9344690.0,21 - 23,Priced Within Range,Financial,Diversified Finan Serv,Finance-Leasing Compan,5.27,0.1965601965601969,82.0,4.7,8,8,2006,1
AYX US,Alteryx Inc,8.2,-33.5,-22.3,144.9,10.35,14.0,144.9,02156B103,0.9,144.9,10.35,105.689,64688100.0,14-Dec,Priced Within Range,Technology,Software,Enterprise Software/Serv,0.66,0.0812797871947232,96.9,4.4,3,24,2017,1
AZEK US,AZEK Co Inc/The,31.1,7.9,5.3,879.463,116.031,23.0,2668.7,05478C105,1.3,879.463,116.031,109.495,166586000.0,19 - 21,Priced Above Range,Industrial,Building Materials,Bldg&Construct Prod-Misc,0.05,0.5472046927775109,78.1,11.0,6,12,2020,1
AZTAU US,Hemisphere Media Group Inc,29.4,5.6,-5.4,100.0,10.0,10.0,100.0,5.50E+204,0.1,100.0,10.0,,,10-Oct,Priced Within Range,Communications,Media,Broadcast Serv/Program,0.1,-0.1070967056699219,71.5,9.1,6,30,2011,0
AZURQ US,Azure Midstream Partners LP,7.8,-275.9,-23.0,137.5,8.7245,20.0,174.49,05501X100,0.5,137.5,8.7245,,,19 - 21,Priced Within Range,Energy,Oil&Gas Services,Oil-Field Services,0.1,0.039399753323301,85.1,7.3,7,26,2013,0
AZYO US,Aziyo Biologics Inc,11.0,-52.4,-57.0,50.0004,7.827,17.0,133.059,05479K106,-1.4,50.0004,7.827,86.1118,8147000.0,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,8,2020,0
BAF US,BlackRock Municipal Income Inv,,,,120.0,0.0,15.0,0.0,09250G102,,120.0,0.0,4.32993,378843.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.85,0.165745856353599,80.6,5.7,10,29,2002,0
BAH US,Booz Allen Hamilton Holding Co,6.4,5.5,8.5,273.7,122.722,17.0,2086.27,99502106,5.4,273.7,122.722,98.3987,130109000.0,17 - 19,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Consulting Services,0.2,0.0420646423819506,71.6,9.8,11,17,2010,1
BANC US,Banc of California Inc,0.4,22.8,1.1,63.48,0.0,12.0,0.0,05990K106,1.4,63.48,0.0,98.2349,58628300.0,12-Dec,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Western US,1.79,0.3331482509716839,87.6,5.7,8,23,2002,1
BAND US,Bandwidth Inc,43.0,-5.5,-2.0,83.26,4.0348,20.0,80.696,05988J103,1.6,83.26,4.0348,109.072,25478400.0,20 - 22,Priced Within Range,Technology,Software,Computer Software,1.16,0.0024324685907436,98.5,4.2,11,10,2017,1
BANX US,ArrowMark Financial Corp,4.2,72.7,2.4,113.125,0.0,25.0,0.0,861780104,-4.5,113.125,0.0,28.005,1988180.0,25 - 25,Priced Within Range,Financial,Investment Companies,Investment Companies,0.08,-0.204242419052338,75.1,6.9,11,7,2013,0
BARE US,Bare Escentuals Inc,,,28.3,404.8,89.4281,22.0,1967.42,67511105,,404.8,89.4281,,,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,5.25,-0.490436488474757,85.4,4.5,9,29,2006,1
BASXQ US,Basic Energy Services Inc,-27.4,-65.1,-39.0,287.5,33.7854,20.0,675.71,06985P209,-0.8,287.5,33.7854,0.436604,108714.0,18 - 20,Priced Within Range,Energy,Oil&Gas Services,Oil-Field Services,4.03,-0.4048582995951299,91.5,4.9,12,8,2005,1
BATS US,Cboe Bats LLC,5.0,5.8,8.2,290.605,95.6794,19.0,1817.91,05491G109,0.9,290.605,95.6794,,,17 - 19,Priced Within Range,Financial,Diversified Finan Serv,Finance-Other Services,0.37,0.4741067979104,89.0,5.1,4,15,2016,1
BAXSQ US,Baxano Surgical Inc,27.5,-172.3,-61.9,94.875,19.6015,15.0,294.02,71773105,-0.7,94.875,19.6015,0.132729,66000.0,14-Dec,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,4.92,0.2139191328121169,80.9,4.7,10,17,2007,1
BBBB US,Blackboard Inc,18.6,3.7,-0.0200296,88.55,25.1689,14.0,352.36,91935502,3.2,88.55,25.1689,,,13 - 15,Priced Within Range,Technology,Software,Educational Software,1.02,0.3172924378635659,95.6,5.6,6,18,2004,1
BBDC US,Barings BDC Inc,90.5,57.4,0.9,71.55,6.68677,15.0,100.3,06759L103,-6.0,71.55,6.68677,51.9687,56558500.0,15 - 15,Priced Within Range,Financial,Investment Companies,Investment Companies,5.29,0.535036755987662,91.3,4.5,2,15,2007,1
BBEPQ US,Breitburn Energy Partners LP,-3.0,-71.8,-24.6,127.65,27.9758,18.5,517.55,106776107,0.8,127.65,27.9758,,,19 - 21,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,5.34,-0.542138984721521,93.6,4.4,10,4,2006,0
BBG US,HighPoint Operating Corp,,,,373.75,41.372,25.0,1034.3,06846N104,,373.75,41.372,0.00140277,1559.45,20 - 23,Priced Above Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,2.04,-0.3664921465968529,97.1,5.4,12,9,2004,1
BBGI US,Beasley Broadcast Group Inc,17.1,-0.5,-1.2,106.175,0.0,15.5,0.0,74014101,-0.0651732,106.175,0.0,33.3696,4300370.0,15 - 18,Priced Within Range,Communications,Media,Radio,5.79,0.592417061611377,111.3,4.1,2,10,2000,0
BBIO US,Bridgebio Pharma Inc,745.1,-806.9,-64.9,399.5,123.5,17.0,2099.5,10806X102,-3.4,399.5,123.5,102.645,153438000.0,14 - 16,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.4,0.0199147181481603,98.2,3.6,6,27,2019,1
BBK US,BlackRock Municipal Bond Trust,,,,151.35,0.0,15.0,0.0,09249H104,,151.35,0.0,0.887583,93400.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.88,0.5592841163310839,93.0,5.9,4,26,2002,0
BBLG US,Bone Biologics Corp,,,-65.1,16.1266,29.2392,0.0,0.0,98070303,-0.2,16.1266,29.2392,5.14966,788000.0,2-Feb,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,-0.2110680379081459,91.3,5.1,11,27,2015,0
BBN US,BlackRock Taxable Municipal Bo,,,,1083.0,0.0,20.0,0.0,09248X100,,1083.0,0.0,26.6696,16463900.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.18,0.1380664278408069,68.9,9.5,8,27,2010,0
BBND US,BigBand Networks Inc,-19.9,-28.2,-20.2,159.965,57.1191,13.0,742.55,89750509,-0.3,159.965,57.1191,,,12-Oct,Priced Above Range,Communications,Telecommunications,Telecommunication Equip,5.31,0.910569585108543,88.4,4.4,3,15,2007,1
BBRG US,FoodFirst Global Restaurants I,-0.6,-2.4,-10.5,161.0,20.75,14.0,290.5,10567B109,0.8,161.0,20.75,,,14 - 16,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,0.2,0.1245198888476958,67.7,9.4,10,21,2010,1
BBW US,Build-A-Bear Workshop Inc,61.1,11.4,18.9,172.086,19.5517,20.0,391.03,120076104,1.8,172.086,19.5517,75.3705,11269500.0,18 - 20,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Toy Store,1.86,0.5265929436545569,91.7,5.5,10,28,2004,1
BCAB US,BioAtla Inc,-41.7,-38160.8,-43.8,217.35,31.0716,18.0,559.289,09077B104,-1.8,217.35,31.0716,73.0568,33686800.0,15 - 17,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0941478467042596,80.7,6.7,12,16,2020,1
BCAT US,Blackrock Capital Allocation T,,,,2000.0,0.0,20.0,0.0,09260U109,,2000.0,0.0,26.1286,28515800.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.09,0.13927469432666,80.4,7.8,9,25,2020,0
BCC US,Boise Cascade Co,44.7,8.9,30.6,284.117,43.2294,21.0,907.82,09739D100,16.9,284.117,43.2294,104.918,41387900.0,18 - 20,Priced Above Range,Industrial,Building Materials,Bldg Prod-Wood,0.14,0.8190029529268759,77.6,7.7,2,6,2013,1
BCEL US,Atreca Inc,,,-50.7,124.95,20.8503,17.0,354.455,04965G109,-1.6,124.95,20.8503,50.664,16390800.0,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.4,0.0199147181481603,98.2,3.6,6,20,2019,1
BCF US,BlackRock Real Asset Equity Tr,,,,802.5,0.0,15.0,0.0,09254B109,,802.5,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.25,-0.490436488474757,85.4,4.5,9,27,2006,1
BCL US,BlackRock California Municipal,,,,111.0,0.0,15.0,0.0,09249S100,,111.0,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.83,0.1111728738187739,88.1,5.8,7,26,2002,0
BCML US,BayCom Corp,-3.2,24.6,1.0,72.1358,10.7911,22.0,237.404,07272M107,0.9,72.1358,10.7911,60.2467,7823150.0,21 - 23,Priced Within Range,Financial,Banks,Commer Banks-Western US,1.7,0.4158916925435,98.0,3.8,5,4,2018,1
BCONQ US,BP Fly Corp,-7.5,-2532.0,-148.7,48.0,38.566,6.0,231.4,73677205,-0.8,48.0,38.566,,,8-Jun,Priced Within Range,Industrial,Machinery-Constr&Mining,Machinery-Electric Util,6.61,0.0574712643678087,107.6,3.9,11,17,2000,1
BCOV US,Brightcove Inc,6.9,2.5,-1.5,63.25,27.125,11.0,298.38,10921T101,0.4,63.25,27.125,87.3955,36769200.0,12-Oct,Priced Within Range,Technology,Software,Computer Software,0.11,0.440297355127631,75.3,8.3,2,17,2012,1
BCSF US,Bain Capital Specialty Finance,1.5,60.6,3.9,151.875,51.4821,20.25,1042.51,05684B107,4.1,151.875,51.4821,53.8677,34778200.0,20.25 - 21.25,Priced Within Range,Financial,Investment Companies,Investment Companies,2.2,-0.3349348518100969,97.5,3.8,11,15,2018,0
BCTF US,Bancorp 34 Inc,12.3,4.6,0.4,18.795,0.0,10.0,0.0,05970V106,10.3,18.795,0.0,,,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Western US,0.29,0.1246748513014319,87.2,4.9,10,12,2016,1
BCX US,BlackRock Resources & Commodit,,,,875.0,0.0,20.0,0.0,09257A108,,875.0,0.0,32.0199,28199700.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.15,0.975107203050938,67.5,9.0,3,29,2011,1
BDAY US,Celebrate Express Inc,,,-39.5,49.6,6.98839,15.5,108.32,15100A104,,49.6,6.98839,,,13 - 15,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Mail Order,1.86,0.5265929436545569,91.7,5.5,10,19,2004,1
BDJ US,BlackRock Enhanced Equity Divi,,,,945.0,0.0,15.0,0.0,09251A104,,945.0,0.0,18.1679,33806200.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,3.3,0.5117707267144339,89.1,4.9,8,26,2005,1
BDSX US,Biodesix Inc,19.6,-79.1,-63.5,72.0,26.2541,18.0,472.574,09075X108,-1.0,72.0,26.2541,10.0255,4220090.0,17 - 19,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,28,2020,0
BDT US,BlackRock Strategic Equity Div,,,,382.5,0.0,15.0,0.0,09249Y107,,382.5,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.04,0.644468313641263,95.8,5.8,3,26,2004,0
BDTX US,Black Diamond Therapeutics Inc,,,-42.2,231.31,35.9107,19.0,682.303,9.20E+108,-2.7,231.31,35.9107,92.1758,33520900.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.55,0.3879769937814869,99.8,3.6,1,30,2020,1
BDV US,BlackRock Equity Dividend Trus,,,,720.0,0.0,15.0,0.0,09250N107,,720.0,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.03,-0.108401084010841,92.6,5.7,12,19,2003,0
BE US,Bloom Energy Corp,22.4,-16.9,-17.2,310.5,20.7,15.0,1591.0,93712107,-0.3,310.5,20.7,89.7984,161079000.0,13 - 15,Priced Within Range,Industrial,Machinery-Constr&Mining,Machinery-Electric Util,1.91,0.006746326228517,97.9,3.8,7,25,2018,1
BEAM US,Beam Therapeutics Inc,215917.0,-714.9,-25.1,206.999,51.2513,17.0,871.272,07373V105,-1.0,206.999,51.2513,83.3965,58768700.0,15 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.59,0.2740618131495429,101.0,3.5,2,6,2020,1
BECN US,Beacon Roofing Supply Inc,15.2,3.5,7.7,201.825,26.3591,13.0,342.67,73685109,2.3,201.825,26.3591,112.369,73109500.0,14-Dec,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Building Products,1.53,0.2110817941952519,94.2,5.4,9,23,2004,1
BEE US,Strategic Hotels & Resorts Inc,26.0,31.6,1.4,283.36,26.2541,14.0,367.56,86272T106,0.7,283.36,26.2541,3.54e-12,1e-05,15 - 17,Priced Below Range,Financial,REITS,REITS-Hotels,1.02,0.3172924378635659,95.6,5.6,6,24,2004,1
BEEM US,Beam Global,44.9,-73.2,-22.2,13.8,4.3177,6.0,25.9062,07373B109,-0.7,13.8,4.3177,28.2639,2853400.0,9-Sep,Priced Below Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,2.41,0.5295001612890738,97.2,3.7,4,16,2019,0
BEO US,Enhanced S&P 500 Covered Call,,,,185.0,0.0,20.0,0.0,29332W107,,185.0,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,3.57,1.22199592668025,76.9,5.0,9,28,2005,0
BERY US,Berry Global Group Inc,18.2,5.2,4.4,470.589,112.6,16.0,1801.6,08579W103,11.9,470.589,112.6,104.501,130731000.0,16 - 18,Priced Within Range,Industrial,Packaging&Containers,Containers-Paper/Plastic,0.15,-0.0388925140553232,82.6,7.8,10,4,2012,0
BESP US,Franklin BSP Realty Trust Inc,,11.6,,2000.0,0.0,25.0,0.0,08181T100,,2000.0,0.0,3.12066,1377710.0,25 - 25,Priced Within Range,Financial,REITS,REITS-Mortgage,0.08,0.3296754453157729,84.1,6.2,4,22,2014,0
BETR US,Amplify Snack Brands Inc,47.2,10.0,1.2,270.0,75.0,18.0,1350.0,03211L102,-0.0106398,270.0,75.0,0.15572,119509.0,14 - 16,Priced Above Range,"Consumer, Non-cyclical",Food,Food-Confectionery,0.08,-0.141627628281935,91.9,5.1,8,5,2015,0
BFAM US,Bright Horizons Family Solutio,15.8,4.0,2.1,255.53,64.3861,22.0,1416.49,109194100,3.7,255.53,64.3861,108.386,62593000.0,19 - 21,Priced Above Range,"Consumer, Non-cyclical",Commercial Services,Schools,0.09,0.295730419292604,73.8,8.0,1,25,2013,1
BFBC US,Benjamin Franklin Bancorp Inc,-1.7,11.3,,55.7742,0.0,10.0,0.0,82073107,0.7,55.7742,0.0,,,,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,2.83,0.672529746508014,87.7,5.2,4,5,2005,1
BFD US,BlackRock Global Equity Income,,,,898.399,0.0,20.0,0.0,09255D104,,898.399,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.31,0.910569585108543,88.4,4.4,3,28,2007,0
BFED US,Beacon Federal Bancorp Inc,-5.9,15.2,0.4,94.875,0.0,10.0,0.0,73582108,3.8,94.875,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Eastern US,4.92,0.2139191328121169,80.9,4.7,10,2,2007,1
BFH US,Bread Financial Holdings Inc,-3.7,21.9,1.6,179.4,71.8615,12.0,862.34,18581108,31.0,179.4,71.8615,103.143,51420200.0,14-Dec,Priced Within Range,Financial,Diversified Finan Serv,Finance-Credit Card,4.14,0.16882386043895,92.6,4.5,6,8,2001,1
BFIN US,BankFinancial Corp,-10.2,14.9,0.5,244.66,0.0,10.0,0.0,06643P104,0.5,244.66,0.0,75.2904,9729150.0,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Central US,3.02,0.0514403292181003,96.0,5.0,6,24,2005,1
BFO US,BlackRock Florida Municipal 20,,,,75.0,0.0,15.0,0.0,09250M109,,75.0,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.01,0.3250270855904668,87.7,6.1,9,26,2003,0
BFRM US,Merz Aesthetics Inc,,,-5.7,92.0,46.0962,8.0,368.77,09065G107,,92.0,46.0962,,,11-Sep,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,4.59,0.5939617873415811,76.1,4.7,11,7,2007,1
BFSB US,Brooklyn Federal Bancorp Inc,-11.3,-45.6,-1.1,39.675,0.0,10.0,0.0,114039100,-0.2,39.675,0.0,,,,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,2.4,0.576822233875206,94.1,5.4,2,11,2005,0
BFT/U US,Foley Trasimene Acquisition Co,,,,1467.0,146.7,10.0,1300.0,344328208,-0.00403668,1467.0,146.7,0.0117462,17232.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.1,0.315321052408127,74.1,8.4,8,19,2020,0
BFUN US,Bam! Entertainment Inc,-29.6,-101.3,-172.6,46.0,12.679,8.0,101.43,59361105,-0.7,46.0,12.679,,,10-Aug,Priced Within Range,Technology,Software,Applications Software,2.61,-0.1688238604389349,83.9,5.5,11,14,2001,1
BFY US,BlackRock New York Municipal I,,,,67.5,0.0,15.0,0.0,09249R102,,67.5,0.0,0.0441565,2210.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.83,0.1111728738187739,88.1,5.8,7,26,2002,0
BFYT US,Benefytt Technologies Inc,8.7,7.7,-4.6,66.7338,4.7667,14.0,66.73,08182C106,-3.4,66.7338,4.7667,28.052,3809440.0,14 - 16,Priced Within Range,Financial,Insurance,Life/Health Insurance,0.14,0.8190029529268759,77.6,7.7,2,8,2013,0
BG US,Bunge Ltd,42.8,3.5,6.1,300.402,81.98,16.0,1311.68,N.A.,-20.5,300.402,81.98,107.546,161105000.0,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Agriculture,Agricultural Operations,3.79,0.0,91.5,4.9,8,2,2001,0
BGB US,Blackstone Strategic Credit Fu,,,,892.1,0.0,20.0,0.0,09257R101,,892.1,0.0,56.2178,25109300.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.13,0.446221226761131,78.3,7.8,9,26,2012,0
BGFV US,Big 5 Sporting Goods Corp,11.5,8.8,8.1,119.665,21.6785,13.0,281.82,08915P101,5.3,119.665,21.6785,52.3314,11609400.0,14 - 16,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Sporting Goods,1.79,0.055617352614023,92.4,5.8,6,25,2002,1
BGIO US,BlackRock 2022 Global Income O,,,,210.0,0.0,10.0,0.0,09258P104,,210.0,0.0,3.22665,715620.0,10-Oct,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.66,0.3146117386416659,96.3,4.6,2,27,2017,0
